date,symbol,open,close,low,high,volume
21/07/2018,ETHUSD,450.24,467.97,442.5,461.39,1997386.98
22/07/2018,ETHUSD,461.39,471.22,453.94,457.21,1601494.8
23/07/2018,ETHUSD,457.21,469,446.34,449,5733988.57
24/07/2018,ETHUSD,449,484.56,447.91,480.34,8817034.02
25/07/2018,ETHUSD,480.34,485,463.04,470.8,4059664.89
26/07/2018,ETHUSD,470.8,483.99,458.97,462,5019537.99
27/07/2018,ETHUSD,462,473.49,455.29,468.8,6252338.87
28/07/2018,ETHUSD,468.8,471.42,460.23,467.88,1398379.84
29/07/2018,ETHUSD,467.88,470.91,462,466.04,999789.51
30/07/2018,ETHUSD,466.04,469.02,445,456.1,6985218.31
31/07/2018,ETHUSD,456.1,462.04,421.33,431.63,8777970.94
01/08/2018,ETHUSD,431.63,434.39,407.49,419.1,7771978.46
02/08/2018,ETHUSD,419.1,423.92,407,410.9,11984723.8
03/08/2018,ETHUSD,410.9,419.25,398.08,417.43,5777686.11
04/08/2018,ETHUSD,417.43,420,400.94,406.18,1984765.38
05/08/2018,ETHUSD,406.18,413.16,400,408.82,2222747.93
06/08/2018,ETHUSD,408.82,414,401,404.78,3940600.74
07/08/2018,ETHUSD,404.78,410.2,369,377.7,7386165.71
08/08/2018,ETHUSD,377.7,380.73,347.66,355.4,12077860.65
09/08/2018,ETHUSD,355.4,370.29,351.3,363.25,6467826.6
10/08/2018,ETHUSD,363.25,365.76,325,328.15,9306069.58
11/08/2018,ETHUSD,328.15,328.15,304.49,308.09,7642470.79
12/08/2018,ETHUSD,308.09,308.09,308.09,308.09,6442723.13
13/08/2018,ETHUSD,318.34,322.29,281.18,284.17,16988217.84
14/08/2018,ETHUSD,284.17,284.25,250.33,278.49,24446963.5
15/08/2018,ETHUSD,278.49,304.75,277.01,281.28,13384762.45
16/08/2018,ETHUSD,281.28,299.03,278,287.22,8362569
17/08/2018,ETHUSD,287.22,317.49,285.62,317.18,19709691
18/08/2018,ETHUSD,317.18,321.08,283,294.7,6104914.99
19/08/2018,ETHUSD,294.7,306.85,289.13,299.88,7873857.42
20/08/2018,ETHUSD,299.88,303.82,269.19,270.76,7774642.64
21/08/2018,ETHUSD,270.76,285.68,269.35,280.86,5687234.05
22/08/2018,ETHUSD,280.86,298.67,259.49,270.32,20256072.97
23/08/2018,ETHUSD,270.32,280.75,268.17,275.62,6822707.77
24/08/2018,ETHUSD,275.62,283,270.02,282.08,5999831.2
25/08/2018,ETHUSD,282.08,282.78,276.79,277.74,2252274.88
26/08/2018,ETHUSD,277.74,277.74,269.61,274.39,2293207.41
27/08/2018,ETHUSD,274.39,288.38,271.63,287.82,5841834.95
28/08/2018,ETHUSD,287.82,297.53,282.88,295.24,6143401.65
29/08/2018,ETHUSD,295.24,297,284.3,288.52,4492649.69
30/08/2018,ETHUSD,288.52,290.98,272.51,284.14,5649771.81
31/08/2018,ETHUSD,284.14,284.8,276.65,281.61,3482801.14
01/09/2018,ETHUSD,281.61,302,280.34,295.19,4814210
02/09/2018,ETHUSD,295.19,299.61,289,294.24,2522358.74
03/09/2018,ETHUSD,294.24,296.45,285.24,288.73,3304591.42
04/09/2018,ETHUSD,288.73,291.97,280.56,284.78,9077051.61
05/09/2018,ETHUSD,284.78,287.64,226.43,227.86,13313862.29
06/09/2018,ETHUSD,227.86,235,210,229.25,18712356.76
07/09/2018,ETHUSD,229.25,234.04,210.07,215.3,11166069.92
08/09/2018,ETHUSD,215.3,219.51,186,196.87,10261357.05
09/09/2018,ETHUSD,196.87,208.11,175.7,196.29,14386006.79
10/09/2018,ETHUSD,196.29,202.52,186.65,196.9,7456913.39
11/09/2018,ETHUSD,196.9,198.95,176.01,184.9,9152094.06
12/09/2018,ETHUSD,184.9,184.9,167.49,182.6,13583023.63
13/09/2018,ETHUSD,182.6,214.94,182.6,211.54,10763419.04
14/09/2018,ETHUSD,211.54,224.79,202.65,215.41,10423474.25
15/09/2018,ETHUSD,215.41,226.86,211,222.07,3150137.1
16/09/2018,ETHUSD,222.07,223.58,207.99,220.37,1892881.18
